"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"10","S24","Minun on kyllä pakko tarttua kirjoituksesi päättävään lauseeseen ; miksi luulet , että pitäisin ylipainoa ihmisen , naisen tai miehen , arvon mittana ?","minä olla kyllä pakko tarttua kirjoitus päättää lause ; miksi luulla , että pitää ylipaino ihminen , nainen tai mies , arvo mitta ?","miehen löytäminen","29.10.2013","09:30","Terveys","Yksinäisyys","Harjuvalta_","9918641","http://keskustelu.suomi24.fi/t/11799130#comment-64247430","http://keskustelu.suomi24.fi/t/11799130","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"11","S24","Kunnioitan virkamiestahon viisaita oikeudenmukaisia henkilöitä jotka ovat asioissaan selkeitä rauhallisia ja luovat työympäriistöönsä vakautta ilman mielivaltaa kuutelevat alaisiaan sekä kansalaisia .","kunnioittaa virkamiestaho viisas oikeudenmukainen henkilö joka olla asia selkeä rauhallinen ja luoda työympäriistöönsä vakaus ilman mielivalta kuutelevat alainen sekä kansa .","Poikani kuoli Viranomais tahon painostus järkyttävää","16.11.2014","01:41","Terveys","Kuolema ja suru","Äidin kokemus","9766777","http://keskustelu.suomi24.fi/t/12863697#comment-73564887","http://keskustelu.suomi24.fi/t/12863697","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"12","S24","Psykoosilääke kylläkin varmaan myös aiheuttaa asiaa myönsi sen tai ei .","psykoosilääke kylläkin varmaan myös aiheuttaa asia myöntää se tai ei .","näköharhat","6.5.2014","02:38","Terveys","Skitsofrenia","eivät tunne sanaa ei","8493622","http://keskustelu.suomi24.fi/t/12227631#comment-67651283","http://keskustelu.suomi24.fi/t/12227631","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"13","S24","enää vain kirjan leikkeiden alla on kirkasta lasia Entä jos ne jotka esiintyvät ratkaisuna , ovatkin ongelma .","enää vain kirja leike alla olla kirkas lasi entä jos se joka esiintyä ratkaisu , olla ongelma .","Kallonmittausta äärettömässä tietoisuudessa_________","12.9.2014","06:17","Terveys","Skitsofrenia","DSM: 0","1057733","http://keskustelu.suomi24.fi/t/12518801#comment-70115228","http://keskustelu.suomi24.fi/t/12518801","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"14","S24","Paitsi että asuu äitinsä kanssa , miehelläni on muita naisia ja hän haluaa elää "" avoimessa suhteessa "" tutustuen yhä uusiin naisiin .","paitsi että asua äiti kanssa , mies olla muu nainen ja hän haluta elää "" avoin suhde "" tutustua yhä uusi nainen .","En uskalla hakea apua","3.11.2014","14:05","Terveys","Masennus","en uskalla hakea apu","2811229","http://keskustelu.suomi24.fi/t/12827712#comment-72882372","http://keskustelu.suomi24.fi/t/12827712","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"15","S24","Its olen joka yö jonkun aikaa saanut yöllisen kauhukohtauksen .","Its olla joka yö joku aika saada yöllinen kauhukohtaus .","paniikkikohtaus öisin","24.5.2011","21:18","Terveys","Paniikkihäiriö","menee ohi","8402554","http://keskustelu.suomi24.fi/t/872784#comment-49577181","http://keskustelu.suomi24.fi/t/872784","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"16","S24","Luuletko tosiaan , että Jumalastaseuraavan asemallasi on netin keskustelupalstalla mitään virkaa ?","luulla tosiaan , että Jumalastaseuraavan asema olla netti keskustelupalsta mikään virka ?","Epäonnistunut leikkaus, potilasvahinko  hoitovirhe!","23.1.2014","10:08","Terveys","Leikkaus","Tiivistynyt Jouko","682287","http://keskustelu.suomi24.fi/t/11289313#comment-65782322","http://keskustelu.suomi24.fi/t/11289313","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"17","S24","Ensimmäiset menkat tähän kuuteen kuukauteen alkoivat viimein tänään eikä vuotokivut ole kadonneet ( toisaalta ei tarvi näköjään joka kuukausi kestää niitä ) Painokin on pudonnut alun nousun jälkeen lähemmäs alkutilannetta .","ensimmäinen menkat tämä kuusi kuukausi alkaa viimein tänään ei vuotokipu olla kadota ( toisaalta ei tarvi näköjää joka kuukausi kestää se ) paino olla pudota alku nousu jälkeen lähemmäs alkutilanne .","Kokemuksia Zoely-pillereistä","31.7.2012","13:43","Terveys","Kuukautiset","mur","5461222","http://keskustelu.suomi24.fi/t/10447560#comment-56461409","http://keskustelu.suomi24.fi/t/10447560","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"18","S24","kiinnostas missä Mua kiinnostas toi sun ideas kovasti , ikää kylläkin 29w ja mitat aika samanlaiset kuin sulla ?","kiinnostaa mikä mä kiinnostaa toi sä ideas kovasti , iätä kylläkin 29w ja mitta aika samanlainen kuin sä ?","Kootaan pieni laihdutus ryhmä!","14.2.2011","19:26","Terveys","Yleistä laihdutuksesta","Minnis1","10001995","http://keskustelu.suomi24.fi/t/9663920#comment-48104192","http://keskustelu.suomi24.fi/t/9663920","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"19","S24","Tai jos narsisti ei halua vankilapakoa niin sitten manipuloi kaikki vartijat puolelleen ja elää linnassa kuin kuningas ja on tavallaan vankilanjohtaja joka nauttii kaikkein alempien vankien henkisestä kiduttamisesta ja tähän osallistuvat myös vartijat koska narsisti käskee .","tai jos narsisti ei haluta vankilapako niin sitten manipuloida kaikki vartija puoli ja elää linna kuin kuningas ja olla tavallaan vankilanjohtaja joka nauttia kaikkein alempi vanki henkinen kiduttaa ja tämä osallistua myös vartija koska narsisti käskeä .","Narsisti vankilassa","26.11.2014","19:51","Terveys","Narsismi","narsis=charlesmanson","8668490","http://keskustelu.suomi24.fi/t/13002036#comment-74163684","http://keskustelu.suomi24.fi/t/13002036","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"20","S24","Kyllä nyt täytyy taas valittaa sen huonon tasa-arvotilanteen takia , eikö ?","kyllä nyt täytyä taas valittaa se huono tasa-arvotilanne takia , ei ?","Hyviä miehiä mahdoton löytää","11.8.2014","05:14","Terveys","Yksinäisyys","....................","7150309","http://keskustelu.suomi24.fi/t/12369310#comment-69283365","http://keskustelu.suomi24.fi/t/12369310","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"21","S24","Yksi terapeutti oli itse kokenut kovia , ja hän kertoi avoimmesti omista kokemuksista itsemurha omaisena .","yksi terapeutti olla itse kokea kova , ja hän kertoa avoimmesti oma kokemus itsemurha omainen .","Mikä estää tekemästä itsaria?","3.10.2014","11:40","Terveys","Masennus","Tuhkalehto","8849770","http://keskustelu.suomi24.fi/t/12631079#comment-71210948","http://keskustelu.suomi24.fi/t/12631079","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"22","S24","Pikkuhiljaa opit tuntemaan tän kertomasi työkaverinkin .","pikkuhiljaa oppia tuntea tää kertoa työkaveri .","työuupumus vai työpaikkakiusaamista?","13.2.2014","19:34","Terveys","Stressi ja burn-out","Päivä kerrallaan...","8296909","http://keskustelu.suomi24.fi/t/12057798#comment-66193433","http://keskustelu.suomi24.fi/t/12057798","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"23","S24","haluan olla laiha nyttenkin mitat on 158/41 vituttaa oikeesti haluun olla laiha ja hoikka ja vähän painone !!!","haluta olla laiha nytten mitta olla 158/41 vituttaa oikeesti halu olla laiha ja hoikka ja vähän painone !!!","Anorektikon ruokavalio","27.9.2014","21:02","Terveys","Anoreksia","annnnannnan","4933831","http://keskustelu.suomi24.fi/t/9955046#comment-70923467","http://keskustelu.suomi24.fi/t/9955046","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"24","S24","Kipuja on lähinnä turvonneilla alueilla , ja satunnaisia pistelyitä siellä täällä .","kipu olla lähinnä turvota alue , ja satunnainen pistely se täällä .","oma kokemus rintojenpiennysleikkauksesta","23.4.2014","17:18","Terveys","Leikkaus","DaiDai","5915380","http://keskustelu.suomi24.fi/t/12114334#comment-67431130","http://keskustelu.suomi24.fi/t/12114334","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"25","S24","edelleen show jatkuu edelleenkin porukat luulee että lääkäreitä pitää kuunnella koska "" sitä varten ne on siellä "" ......","edelleen show jatkua edelleen porukka luulla että lääkäri pitää kuunnella koska "" se varten se olla siellä "" ......","ZYPREXA","12.5.2013","23:20","Terveys","Lääkkeet","melkein 3 v zyprexaa","3600836","http://keskustelu.suomi24.fi/t/4860642#comment-61506637","http://keskustelu.suomi24.fi/t/4860642","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"26","S24","Mun pitäisi tehdä paljon harjoituksia joiden avulla voi päästä näistä eroon mutta tuntuu ettei niistä olekkaan enää hyötyä kun ahdistus iskee .","mä pitää tehdä paljon harjoitus joka apu voida päästä tämä ero mutta tuntua ettäei se olekkaan enää hyöty kun ahdistus iskeä .","sietämätön olo","29.8.2014","16:45","Terveys","Ahdistus","ahdistuspaniikki","1040905","http://keskustelu.suomi24.fi/t/12448248#comment-69584414","http://keskustelu.suomi24.fi/t/12448248","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"27","S24","Mutta selvät merkit itsessäni oli ne ylisuuret pupillit , hikoilu ja hirveä sydäntykytys seuraavan päivän !","mutta selvä merkki itse olla se ylisuuri pupilli , hikoilu ja hirveä sydäntykytys seuraava päivä !","Apua. Käyttääkö lapseni?","13.12.2014","16:07","Terveys","Huumeet","Kokeilla","6905775","http://keskustelu.suomi24.fi/t/13050819#comment-75096105","http://keskustelu.suomi24.fi/t/13050819","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"28","S24","Jos löydät hyvän keinon , niin ilmoittele .","jos löytää hyvä keino , niin ilmoitella .","MUSTAT silmänalukset!!!","28.2.2005","15:10","Terveys","Vitamiinit","Mustasilmä","4068432","http://keskustelu.suomi24.fi/t/1550830#comment-7555433","http://keskustelu.suomi24.fi/t/1550830","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"29","S24","Kuljetan happipulloa ajoittain myös työmatkoillani , kun kierrän ympäri Suomea , sen kuljettamisessa täytyy huomioida turvallisuus , kuten kotona säilyttämisenkin kanssa .","kuljettaa happipullo ajoittain myös työmatka , kun kiertää ympäri Suomi , se kuljettaa täytyä huomioida turvallisuus , kuten kotona säilyttää kanssa .","Onko muilla Horton-päänsärkyä?","23.7.2008","11:54","Terveys","Migreeni","44v.","6324904","http://keskustelu.suomi24.fi/t/664705#comment-31760857","http://keskustelu.suomi24.fi/t/664705","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"30","S24","Olen ollut vähillä hiilareilla nyt reilu 3 viikkoa ja suht hyvin treeni sujuu , ei huimaa .","olla olla vähä hiilareilla nyt reilu 3 viikko ja suht hyvin treeni sujua , ei huima .","Kesäkuntoon ehtii vielä..","16.4.2011","15:11","Terveys","Yleistä laihdutuksesta","Milou 75","1173619","http://keskustelu.suomi24.fi/t/9774666#comment-49034284","http://keskustelu.suomi24.fi/t/9774666","CC BY-NC (CLARIN PUB)","2019-03-02 16:02:28","8851905","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Terveys%22%5D","corpus=S24; cqp=[_.text_sect = ""Terveys""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
