"hit number","corpus","tokens","lemmas","text_title","text_date","text_time","text_sect","text_sub","text_user","sentence_id","text_urlmsg","text_urlboard","licence","date","total hits","Korp URL","params"
"13","S24","Jos rahaa on enemmän , on sijoitus hyvä hajauttaakin eri kohteisiin : pörssiosakkeisiin , asuntoon / asuntoihin , korkorahastoihin jne. Kuitenkin varmaan ainakin jonkin verran itsekukin mielellään pitää ihan käteisenä nopeasti tarvittaessa saatavilla .","jos raha olla enempi , olla sijoitus hyvä hajauttaa eri kohde : pörssiosake , asunto / asunto , korkorahasto jne. kuitenkin varmaan ainakin jokin verran itsekukin mielellään pitää ihan käteinen nopeasti tarvita saada .","TF Bank 2,6%","8.1.2013","17:58","Talous","Talletukset","Säästäjä","2078081","http://keskustelu.suomi24.fi/t/10959458#comment-59305493","http://keskustelu.suomi24.fi/t/10959458","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"14","S24","Muuttoon on annettu aika lauantai ja sunnuntai , eli siina ajassa täyty viedä huonekalut ja kaikki muu pois !","muutto olla antaa aika lauantai ja sunnuntai , eli siina aika täyttyä viedä huonekalu ja kaikki muu pois !","Forenom Asuntopalvelu","3.9.2011","11:59","Talous","Kuluttajansuoja","","4109614","http://keskustelu.suomi24.fi/t/9427347#comment-51053941","http://keskustelu.suomi24.fi/t/9427347","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"15","S24","Teit oikein , Olet jo saanut osasi rahaongelmista , ja hyvä , että opit läksysi etkä enää takaa tai lainaa kellekään mitään .","tehdä oikein , olla jo saada osata rahaongelma , ja hyvä , että oppia läksy ei enää taka tai laina kellekään mikään .","Takaisitko vanhempasi kulutusluoton?","9.9.2014","14:43","Talous","Lainat ja velka","oikein tehty","2785474","http://keskustelu.suomi24.fi/t/12450135#comment-69978350","http://keskustelu.suomi24.fi/t/12450135","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"16","S24","Täällä samaa uhkailusettiä , ja laskukin on maksettu pois , jonka jälkeen ovat laittaneet maksuhäiriö merkinnän ja kyllä vielä käräjille haasteen avoinna olevasta laskusta .","täällä sama uhkailusetti , ja lasku olla maksaa pois , joka jälkeen olla laittaa maksuhäiriö merkintä ja kyllä vielä käräjä haaste avoinna olla lasku .","Requisita perintä, onko täysin laillista perintää?!","18.6.2014","14:57","Talous","Lainat ja velka","että ketuttaa","235746","http://keskustelu.suomi24.fi/t/12191365#comment-68397162","http://keskustelu.suomi24.fi/t/12191365","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"17","S24","Mutta miksi näin vittumainen kirje ?","mutta miksi näin vittumainen kirje ?","Kutsu uo:sta?","25.11.2014","12:42","Talous","Lainat ja velka","jtt35","3256617","http://keskustelu.suomi24.fi/t/12994728#comment-74086317","http://keskustelu.suomi24.fi/t/12994728","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"18","S24","Heti seuraavana päivänä tilauksesta sain ilmoituksen , että paketti on postitettu mulle ja menee se 2-3 päivää .","heti seuraava päivä tilaus saada ilmoitus , että paketti olla postittaa mä ja mennä se 2-3 päivä .","CDON:COM-Huijaus","14.2.2012","16:17","Talous","Verkkokaupat","surkeeta","2117715","http://keskustelu.suomi24.fi/t/8291488#comment-53672867","http://keskustelu.suomi24.fi/t/8291488","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"19","S24","Virkailija ilmeisesti ollut kesätyttö/poika harjoittelija , sattuuhan meille kaikille virheitä , myös meille pankkivirkailijoille .","virkailija ilmeisesti olla kesätyttö/poika harjoittelija , sattua minä kaikki virhe , myös minä pankkivirkailija .","DanskeBank Järvenpää","17.7.2014","10:16","Talous","Pankit","Dansskelainen","4200757","http://keskustelu.suomi24.fi/t/12367011#comment-68875463","http://keskustelu.suomi24.fi/t/12367011","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"20","S24","Jos Metsänomistajien mielipiteitä ei kuunnella eikä arvosteta kuten tässä tapauksessa mistä löytyy enää asiakkaitakaan .","jos metsänomistaja mielipide ei kuunnella ei arvostaa kuten tämä tapaus mikä löytyä enää asiakas .","Päijänteen metsänhoitoyhdistyksen metsurit irtisanomisuhan alla","2.9.2014","22:30","Talous","Metsänhoito","Päijänteen savosta","31792","http://keskustelu.suomi24.fi/t/12419270#comment-69663170","http://keskustelu.suomi24.fi/t/12419270","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"21","S24","Muuten sijoitusvinkkini ovat olleet loistavia .","muuten sijoitusvinkki olla olla loistava .","Nyt laskee Saga Furs","14.1.2014","09:14","Talous","Osakevinkit","asiantuntija.","3334425","http://keskustelu.suomi24.fi/t/11942307#comment-65608189","http://keskustelu.suomi24.fi/t/11942307","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"22","S24","Tulevan yrityksen toiminta tulee olemaan asiantuntijapalveluiden tarjoaminen ja toteutus yrityksille .","tuleva yritys toiminta tulla olla asiantuntijapalvelu tarjota ja toteutus yritys .","Saanko rekisteröityä nimen PRH ennen yrityksen perustamista?","5.12.2014","14:21","Talous","Yrityksen perustaminen","sdlsdl","2060538","http://keskustelu.suomi24.fi/t/13059996#comment-74662758","http://keskustelu.suomi24.fi/t/13059996","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"23","S24","Sitä parempi mitä useampi vähätuottoinen viljelijä päätyy lopettamiseen ja siirtyy tuottavampaan työhön Se johtaa kansallisen maataloussosiaalituen tarpeen vähenemiseen","se hyvä mikä useampi vähätuottoinen viljelijä päätyä lopettaa ja siirtyä tuottava työ se johtaa kansallinen maataloussosiaalituen tarve vähetä","KAUPUNKILAISTEN KÄSI MAALAISTEN","24.10.2014","09:32","Talous","Maataloustuki","hyvä suunta","1013704","http://keskustelu.suomi24.fi/t/10905115#comment-72322212","http://keskustelu.suomi24.fi/t/10905115","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"24","S24",""" Asunnon myyntiä seuranneet tai tarjouksia tehneet saavat tiedon hyväksytystä tarjouksesta "" Myöskään tämä nettisivuilla oleva lupaus ei pitänyt paikkaansa : "" Kaikkien Tarjouskaupassa olleiden kohteiden tiedot jäävät näkyviin verkkosivuillemme www.kiinteistomaailma.fi/hinnat. "" Eipä löytynyt seuraamastani kohteesta mitään tietoja .",""" asunto myynti seurata tai tarjous tehdä saada tieto hyväksyä tarjous "" myöskään tämä nettisivu olla lupaus ei pitää paikka : "" kaikki tarjouskauppa olla kohde tieto jäädä näkyä verkkosivu www.kiinteistomaailma.fi/hinnat. "" ei löytyä seurata kohde mikään tieto .","Kiinteistömaailman tarjouskauppa","13.10.2011","22:32","Talous","Kiinteistöt","ihmetyttää","2099802","http://keskustelu.suomi24.fi/t/4991167#comment-51656674","http://keskustelu.suomi24.fi/t/4991167","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"25","S24","Sain vastauksia vielä yli vuoden päästäkin ilmoituksen julkaisemisesta , kun tuo lehti oli sattunut olemaan jossain kirjastossa esillä , tosin silloin jo seurustelimme nykyisen vaimoni kanssa ja olimme muuttamassa yhteen asumaankin .","saada vastaus vielä yli vuosi päästä ilmoitus julkaista , kun tuo lehti olla sattua olla jokin kirjasto esillä , tosin silloin jo seurustella nykyinen vaimo kanssa ja olla muuttaa yksi asuma .","Mistä emäntä?","24.6.2013","16:56","Talous","Yleistä maataloudesta","Oman emännä löytänyt","5363704","http://keskustelu.suomi24.fi/t/11544820#comment-62140021","http://keskustelu.suomi24.fi/t/11544820","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"26","S24","141-tuesta jouduttiin neuvottelemaan toistuvasti .","141-tuki joutua neuvotella toistuvasti .","pikkuhiljaa hyvä tulee... 141-149-> 2020!","19.5.2014","15:21","Talous","Maataloustuki","1","8061805","http://keskustelu.suomi24.fi/t/12256170#comment-67883759","http://keskustelu.suomi24.fi/t/12256170","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"27","S24","Kaikki haluavat kuitenkin maksaa tilisiirrolla ja maksan kuukaudessa kolmen verkkopainikkeen maksuja yhteensä n.60€ melkeinpä turhaan .","kaikki haluta kuitenkin maksaa tilisiirto ja maksa kuukausi kolme verkkopainike maksu yhteensä n.60€ melkein turhaan .","Hyvä nettikauppa","11.5.2008","17:29","Talous","Hintavertailut","Joomlan käyttäjä","2091053","http://keskustelu.suomi24.fi/t/5746646#comment-30480468","http://keskustelu.suomi24.fi/t/5746646","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"28","S24","Se laitetaan koppaan tai vauvansänkyyn nukkumaan .","se laittaa koppa tai vauvasänky nukkua .","Lehmän elämän laatu?","8.6.2014","09:25","Talous","Maatilan eläimet","äiti minäkin","995892","http://keskustelu.suomi24.fi/t/12282507#comment-68217109","http://keskustelu.suomi24.fi/t/12282507","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
"29","S24","Yrittämisessä on etunsa , kuten yllä totesin , mutta on siinä haittansakin , suosittelen sitä silti nuorille , Suomessa ei oikein voi muulla tavalla vaurastua kuin yrittämällä , perimällä tai naimalla vauraan puolison .","yrittää olla etu , kuten yllä todeta , mutta olla se hai , suositella se silti nuora , Suomi ei oikein voida muu tapa vaurastua kuin yrittää , periä tai naida vauras puoliso .","Palkkatyön hyödyt","23.11.2014","10:00","Talous","Yleistä maataloudesta","sanon vaan","5347734","http://keskustelu.suomi24.fi/t/12978816#comment-73961196","http://keskustelu.suomi24.fi/t/12978816","CC BY-NC (CLARIN PUB)","2019-03-02 16:12:29","3930858","https://korp.csc.fi/#?stats_reduce=word&cqp=%5B_.text_sect%20%3D%20%22%22%5D&corpus=s24&search_tab=2&sort=random&random_seed=5344467&hpp=1000&search=cqp%7C%5B_.text_sect%20%3D%20%22Talous%22%5D","corpus=S24; cqp=[_.text_sect = ""Talous""]; defaultcontext=1 sentence; defaultwithin=sentence; sort=random; start=0; end=999"
